CribBin,BinQuantity
08-11,3
08-12,1
08-14,2
08-28,1
08-44,8
08-45,2
08-46,6
08-47,9
08-49,6
09-22,20
09-29,1
09-39,1
09-42,1
09-43,1
09-50,1
09-54,2
09-57,2
09-58,1
09-59,2
167-10,10
167-12,10
167-14,10
167-16,10
167-34,4
167-36,5
167-38,6
167-54,1
167-55,5
167-56,6
167-57,2
167-58,24
167-59,24
167-63,1
167-68,2
45-22,1
45-32,1
46-19,7
46-29,3
46-39,16
46-49,7
46-59,5
46-69,9
46-76,3
46-77,18
46-78,11
46-79,1
47-12,6
47-13,5
47-14,4
47-15,8
47-16,8
47-17,8
47-18,5
47-19,6
47-20,2
47-24,2
47-25,3
47-26,5
47-27,5
47-28,2
47-29,4
47-30,6
47-31,4
47-32,5
47-33,7
47-34,5
47-35,5
47-36,5
47-37,5
47-38,5
47-39,3
47-43,3
47-47,5
47-48,7
47-49,8
47-52,4
47-53,3
47-54,3
47-55,4
47-56,6
47-57,9
47-58,7
47-59,9
47-61,2
47-65,1
47-67,9
47-68,6
47-69,1
47-71,1
47-74,1
47-78,6
47-79,5
48-67,13
